char,radical,ohaeng,huneum,strokes
㐆,尸,木,- 은,6
㐌,亻,火,- 이,5
㐬,川,水,- 류,7
㐭,亠,火,- 름,8
㐱,彡,火,- 진,5
㒸,豕,水,- 수,9
㒼,巾,木,- 만,11
㓞,刀,金,- 갈,6
㔾,㔾,金,- 절,55
㕡,谷,水,- 학,14
㝵,寸,金,- 애,8
㠯,己,土,- 이,5
㡭,纟,木,- 계,14
㢆,广,土,- 전,10
㢟,廴,木,- 지,7
㣎,白,金,- 목,11
㥯,心,火,- 은,14
㧜,扌,木,- 잡,8
㬎,日,火,- 현,14
㲋,比,水,- 착,9
㳄,氵,水,- 연,7
㼌,瓜,木,- 유,10
㿽,皿,土,- 혜,9
䍃,缶,土,- 요,10
䕭,艹,木,- 섬,20
䙴,覀,金,- 선,11
䜌,糹,木,- 련,19
䠀,足,土,- 창,15
䧹,隹,火,- 응,13
䰾,魚,水,- 파,15
䴉,鳥,火,- 환,24
一,一,土,한 일,1
丁,一,土,고무래 정,2
丂,一,土,교묘할 교,15
七,一,土,일곱 칠,2
丄,一,土,위 상,21
丈,一,土,어른 장,3
三,一,土,석 삼,3
上,一,土,윗 상,3
下,一,土,아래 하,3
丌,一,土,책상 기,3
不,一,土,아닐 부,4
与,一,土,더블 여,4
丏,一,土,가릴 면,4
丐,一,土,거지 갈,4
丑,一,土,소 축,4
且,一,土,또 차,5
丕,一,土,클 비,5
世,一,土,인간 세,5
丘,一,土,언덕 구,5
丙,一,土,남녘 병,5
业,一,土,- 업,5
丛,一,土,- 총,5
丝,一,土,- 사,5
丞,一,土,정승 승,6
丟,一,土,갈 주,6
丢,一,土,잃어버릴 주,6
严,一,土,- 엄,7
並,一,土,나란 히 병,8
丧,十,土,- 상,8
丨,丨,木,뚫을 곤,2
丩,丨,木,넝쿨 구,52
个,丨,木,낱 개,3
丫,丨,木,가장귀 아,3
丬,丬,木,- 장,3
中,丨,木,가운데 중,4
丰,丨,木,예쁠 봉,4
丱,丨,木,쌍상투 관,5
串,丨,木,땅이름 곶,7
丵,丨,木,풀이 우거질 착,10
丶,丶,火,심지 주,4
丷,丷,金,구결 하,43
丸,丶,火,둥글 환,3
丹,丶,火,붉을 단,4
爲,爪,木,"할 위",12
主,丶,火,임금 주,5
